osm_id,code,fclass,name,Lat,Long
2669102686,5601,railway_station,Puri,85.837790499999997,19.807933700000000
2935034079,5601,railway_station,Jenapur,86.065644800000001,20.851174900000000
2935037017,5601,railway_station,Delang,85.767105000000001,20.037985599999999
2935273118,5621,bus_stop,Paikakushdiha bus stop,85.233905500000006,19.784654300000000
2942889823,5601,railway_station,New Garh Madhopur,86.072408999999993,20.798842799999999
2963899216,5602,railway_halt,Bansadhara,83.822778799999995,18.970018100000001
2963899218,5602,railway_halt,Haddubhangi,83.941868700000001,18.821650300000002
2963899219,5602,railway_halt,Lihuri,83.849506199999993,18.913380799999999
2963899221,5601,railway_station,Sitapuram,83.982379699999996,18.815290800000000
2978711533,5601,railway_station,Surla Road,84.718964900000003,19.176460500000001
2978747125,5602,railway_halt,Chatrapur Court,84.982905000000002,19.359207699999999
2978747126,5602,railway_halt,Narasimhapur,84.918543400000004,19.365895600000002
2999157386,5621,bus_stop,Raj Mahal,85.836114800000004,20.261729299999999
2999157406,5621,bus_stop,AG Square,85.830152299999995,20.265976599999998
3062800477,5621,bus_stop,Bolua Bus Stop,85.621513399999998,20.830085600000000
3071437208,5622,bus_station,Bus Stand,85.542945000000003,20.932558100000001
3071622767,5622,bus_station,"Bus Stand, Dhenkanal",85.599384099999995,20.653406900000000
3081945567,5622,bus_station,New Bus Stand,85.593497099999993,20.636203200000001
3081945572,5602,railway_halt,Shyama Charanpur,85.619625099999993,20.637635100000001
3098491535,5621,bus_stop,Jharigaon Bus Stand,82.369982100000001,19.717970399999999
3269960903,5651,airport,Phulbani Airstrip,84.264687300000006,20.464127800000000
3269960904,5622,bus_station, ,84.232943300000002,20.483325000000001
3306257774,5601,railway_station,Sakhigopal,85.816036199999999,19.942776299999998
3375289568,5621,bus_stop,Dhanupali Bus Stop,83.991023600000005,21.448429800000000
3430534363,5622,bus_station,Balasore Main Bus Stand,86.919362100000001,21.503957799999998
3433488222,5621,bus_stop, ,86.924212400000002,21.501072700000002
3599998019,5622,bus_station,Chatrapur Main Bus stand,84.987184099999993,19.355595900000001
3657986203,5601,railway_station,Khurda Town,85.593301400000001,20.158120600000000
3956130035,5621,bus_stop,Sergarh,86.843661800000007,21.435838199999999
3956137110,5621,bus_stop,Santa Bus Stop,86.832067499999994,21.446228200000000
3989535062,5621,bus_stop,Sergarh,86.843491000000000,21.435877399999999
